Lambda,Idark(DI Lamp Off),Iblank (DI Lamp On),"Ikn (Nitrate = 45, Salinity = 33.885)","Izn (Zero Nitrate, Salinity= 36.052)","Ich (DI Water,  Salinity = 0 ,Nitrate = 45)","Its (Tank Water, first week sampled)", A(zn),A(kn),ESW(T1ZNTcal),ASW(T1ZNTis),ASW(T2KNTcal),ESW(T1ZNTis),ASE(TcalZN),,,,,,,,,S1(ZNcal),S2(KNcal),S(TS),T1(ZNcal),T2(KNcal),T(TS),S(Norm),Known NO3-
264.77,2640.125,22658.875,21557.875,21834,21707,20790.25,0.018274294,0.024567474,0.000681446,,,,,,,,,,,,,,,,,,,,
265.313,2645.125,21968.75,20873.5,21199.75,21094,20136.625,0.017636419,0.025340646,0.000702892,,,,,,,,,,,,,,,,,,,,
265.856,2557.625,21224.125,20133.5,20449.125,20348.125,19464.25,0.018416142,0.026145939,0.000725229,,,,,,,,,,,,,,,,,,,,
266.399,2895.625,20858.625,19877.875,20164.125,20028.375,19196.125,0.017124255,0.02438364,0.000676346,,,,,,,,,,,,,,,,,,,,
266.942,2608.75,19936,18972.875,19263.625,19135,18304.75,0.017188264,0.024836853,0.000688917,,,,,,,,,,,,,,,,,,,,
267.485,2666.25,19394.5,18515.5,18739,18586,17774.625,0.017360321,0.023441794,0.000650222,,,,,,,,,,,,,,,,,,,,
268.028,2614.375,18782.125,17827.125,18129.875,17969.375,17212.25,0.017883809,0.026441857,0.000733437,,,,,,,,,,,,,,,,,,,,
268.571,2624.875,18280.625,17390.5,17643.75,17524.625,16747.75,0.018036475,0.025422043,0.000705149,,,,,,,,,,,,,,,,,,,,
269.114,2576.75,17723.5,16879.375,17089.875,16975.375,16222.75,0.018558522,0.024903705,0.000690772,,,,,,,,,,,,,,,,,,,,
269.657,2648.5,17287.75,16492.25,16726.875,16632.5,15852.875,0.016966298,0.02426508,0.000673058,,,,,,,,,,,,,,,,,,,,
270.2,2607.125,16880.125,16093.875,16302.125,16186.125,15473.375,0.017953229,0.024607959,0.000682568,,,,,,,,,,,,,,,,,,,,
270.743,2599.5,16463.875,15742.125,15924.25,15844.125,15098.5,0.017241227,0.02321818,0.000644019,,,,,,,,,,,,,,,,,,,,
271.286,2580.25,16144.875,15431,15602.625,15507.875,14856.75,0.017717595,0.023479317,0.000651263,,,,,,,,,,,,,,,,,,,,
271.829,2994,16295.5,15545.875,15741.125,15683.375,14995.25,0.018488374,0.025192013,0.000698769,,,,,,,,,,,,,,,,,,,,
272.372,2625.875,15689.75,14989.625,15165.75,15079.125,14407.125,0.017778809,0.023921801,0.000663536,,,,,,,,,,,,,,,,,,,,
272.915,3315.375,16278.375,15605.875,15765.5,15680,14989.25,0.017531809,0.02313597,0.000641739,,,,,,,,,,,,,,,,,,,,
273.458,2632.5,15430.125,14738.875,14934,14867.375,14212.625,0.017171309,0.024115258,0.000668902,,,,,,,,,,,,,,,,,,,,
274.001,2616.625,15396.875,14705.625,14885.125,14798.25,14153.5,0.017747882,0.024148972,0.000669837,,,,,,,,,,,,,,,,,,,,
274.544,2625.5,15398.25,14676.875,14872,14789.75,14120.5,0.018272425,0.025247811,0.000700317,,,,,,,,,,,,,,,,,,,,
275.087,2609.625,15409.875,14727.75,14918.875,14807.75,14135,0.01698686,0.023783024,0.000659687,,,,,,,,,,,,,,,,,,,,
275.63,2613.375,15520,14793.375,14960.5,14928.375,14193.875,0.019246847,0.025165404,0.000698031,,,,,,,,,,,,,,,,,,,,
276.173,2629,15619.875,14906.5,15081.125,14975.625,14328,0.018394932,0.024528461,0.000680363,,,,,,,,,,,,,,,,,,,,
276.716,2621.375,15733.625,15016.125,15215.25,15079.125,14442.5,0.017517843,0.024439449,0.000677894,,,,,,,,,,,,,,,,,,,,
277.259,2634.375,15922.375,15204.5,15420.75,15311.375,14621.125,0.016712182,0.024120023,0.000669034,,,,,,,,,,,,,,,,,,,,
277.802,2547.375,16069.375,15307.25,15532.125,15413.375,14724.25,0.017607339,0.025194512,0.000698838,,,,,,,,,,,,,,,,,,,,
278.345,2675.875,16320.375,15569.75,15785.25,15681.875,14959.125,0.017375639,0.02457417,0.000681631,,,,,,,,,,,,,,,,,,,,
278.888,2576.875,16449,15674.25,15894.875,15762.25,15085.25,0.017703983,0.024958731,0.000692298,,,,,,,,,,,,,,,,,,,,
279.431,2606.875,16633,15857.375,16056.875,15942.75,15265,0.018215421,0.024705439,0.000685272,,,,,,,,,,,,,,,,,,,,
279.974,2629.125,16756.625,16018.375,16169.75,16089,15395.125,0.018426605,0.023309065,0.00064654,,,,,,,,,,,,,,,,,,,,
280.517,2695.625,16947.5,16167.75,16382.625,16308.625,15598.875,0.017563737,0.024435901,0.000677796,,,,,,,,,,,,,,,,,,,,
281.06,2573.25,16962.125,16214.625,16362.5,16279.75,15624.25,0.018486194,0.023168692,0.000642647,,,,,,,,,,,,,,,,,,,,
281.603,2648.625,17153.75,16397.625,16586.125,16475.875,15808.625,0.017336595,0.023250364,0.000644912,,,,,,,,,,,,,,,,,,,,
282.146,2585.75,17254.75,16447.875,16642.125,16569.125,15934.625,0.018527174,0.024570698,0.000681535,,,,,,,,,,,,,,,,,,,,
282.689,2628.75,17454,16605.75,16898.375,16793.5,16100.5,0.016589465,0.02558806,0.000709754,,,,,,,,,,,,,,,,,,,,
283.232,2574.25,17709.75,16885,17148.25,17011.125,16382,0.016418007,0.024334377,0.00067498,,,,,,,,,,,,,,,,,,,,
283.775,2652.75,18053.375,17247.125,17448.75,17330.125,16707.75,0.017394023,0.023352845,0.000647754,,,,,,,,,,,,,,,,,,,,
284.318,2686.875,18496.75,17649.625,17882.25,17752.875,17113.875,0.017217014,0.023917016,0.000663403,,,,,,,,,,,,,,,,,,,,
284.861,2643,18942,18072.75,18317.375,18184.875,17556.125,0.016970727,0.02380207,0.000660215,,,,,,,,,,,,,,,,,,,,
285.404,2613,19467.75,18549.75,18783.125,18672.25,18003.875,0.018008938,0.024322555,0.000674652,,,,,,,,,,,,,,,,,,,,
285.947,2645,20020.25,19104.75,19325.75,19230.375,18581,0.017715489,0.023507827,0.000652053,,,,,,,,,,,,,,,,,,,,
286.49,2638.75,20558.375,19596.875,19870.875,19688.25,19077.5,0.016990081,0.023951085,0.000664348,,,,,,,,,,,,,,,,,,,,
287.033,2639.125,21138.5,20143.5,20372.75,20280.125,19638.75,0.018359536,0.024010447,0.000665995,,,,,,,,,,,,,,,,,,,,
